,2MASS,id,tmag,MASS,RAD,ROT,Activity Flag,Binary Flag
208,21450493+1953354,330213592,9.89400005340576,0.61,0.616,,0,0
213,22275958+5741453,471012608,7.15100002288818,0.316,0.332,,0,0
214,22275958+5741453,414587194,7.15100002288818,0.316,0.332,,0,0
216,22423871+1740091,379746744,9.47599983215332,0.451,0.461,,0,0
217,23060482+6355339,435160829,9.05900001525879,0.647,0.653,2.831,1,0
222,23584342+4643452,177638351,7.86399984359741,0.737,0.741,,0,0
224,00113182+5908400,452882423,11.9278001785278,0.1,0.126,,0,0
225,00115302+2259047,150785249,10.496600151062,0.299,0.315,,0,0
226,00115653+3303177,22567172,10.6006002426147,0.37,0.383,,0,0
228,00175864+2057192,150905991,9.96500015258789,0.505,0.514,,0,0
229,00185352+2748499,306123710,11.1961002349854,0.187,0.208,6.049,1,0
231,00252063+2253121,411527097,11.4352998733521,0.165,0.187,,0,0
233,00332048+3650262,115595346,10.2938003540039,0.405,0.417,,0,0
234,00372598+5133072,240673402,9.7086296081543,0.474,0.484,7.2048,0,0
235,00393379+6033153,428548844,10.6716995239258,0.369,0.382,,0,0
236,00441933+1237027,333113604,10.3930997848511,0.373,0.386,,0,0
237,00462990+5038389,240777964,11.6436004638672,0.286,0.303,,0,0
239,00570261+4505099,196293610,9.5875301361084,0.28,0.296,,0,0
240,01004948+6656546,378981776,10.9006004333496,0.31,0.325,,0,0
241,01031395+3140598,174326589,11.03600025177,0.51,0.519,,0,0
242,01075217+1252518,384888319,10.1406002044678,0.425,0.436,,0,0
244,01144937+2519012,80514634,10.2079000473022,0.444,0.455,,0,0
246,01401649+3147306,61505365,11.1492004394531,0.256,0.274,,0,0
248,01512417+2123399,91305824,11.1836004257202,0.233,0.252,,0,0
249,01515108+6426060,10352491,9.12899971008301,0.449,0.46,,0,0
250,02000224+1334507,471012751,10.7740001678467,0.282,0.299,,0,0
251,02000224+1334507,404713296,10.7740001678467,0.282,0.299,,0,0
252,02000280+4345286,291885076,10.7391996383667,0.411,0.422,,0,0
253,02000741+3639481,381543741,11.4549999237061,0.247,0.265,,0,0
256,02071032+6417114,285903673,11.5615997314453,0.195,0.216,1.177,1,0
259,02085359+4926565,250602194,10.0315999984741,0.384,0.396,,1,0
260,02112213+4406421,292605805,10.114800453186,0.611,0.617,,0,0
261,02114094+1833375,306425933,10.1805000305176,0.347,0.361,,0,0
262,02125458+0000167,332799564,10.7680997848511,0.251,0.27,4.732,1,0
263,02153438+3357418,63717991,10.9794998168945,0.435,0.446,,1,0
264,02183595+2047501,246941391,10.2491998672485,0.392,0.405,,0,0
265,02190228+2352550,246943507,11.4202995300293,0.234,0.253,,1,0
266,02202524+3747307,129762186,10.3409996032715,0.42,0.432,,0,0
267,02202524+3747307,471012506,10.5274000167847,0.42,0.432,,0,0
268,02204625+0258375,420001446,11.8332996368408,0.182,0.204,0.503,1,0
269,02221455+4542011,409529230,11.5523996353149,0.148,0.171,95.98,0,0
270,02244611+2558346,21120590,9.74719047546387,0.626,0.632,,0,0
271,02253841+3732339,129908451,11.3501996994019,0.261,0.279,14.6016,1,0
272,02281712+0126310,422847367,10.7390003204346,0.34,0.354,,0,0
273,02291911+8824129,303256024,10.5900001525879,0.27,0.287,,0,0
274,02334741+1500173,408818853,11.2848997116089,0.275,0.292,,0,0
275,02340001+4146489,139405621,11.1824998855591,0.292,0.308,,0,0
276,02343465+5636461,245425195,10.2810001373291,0.71,0.714,,0,0
277,02362715+5528349,245503256,10.8754997253418,0.427,0.438,,0,0
278,02364412+2240265,61085196,11.9969997406006,0.14,0.164,0.37,1,0
279,02391735+0728169,337217173,11.5545997619629,0.222,0.241,,1,0
280,02530084+1652532,257870150,10.5649995803833,0.087,0.114,,1,0
281,02591670+3146245,269913629,11.0690002441406,0.339,0.354,,0,0
282,03044335+6144097,81382817,10.3289003372192,0.414,0.425,,0,0
283,03153783+3724143,177990792,10.8357000350952,0.457,0.468,1.2887,1,0
284,03204519+3943016,178143920,9.35599994659424,0.713,0.718,,0,0
285,03284958+2629122,405461329,10.8718004226685,0.213,0.233,3.2306,1,0
286,03392972+2458028,427580415,10.3705997467041,0.35,0.364,,1,0
287,03425325+2326495,114085256,11.9090003967285,0.333,0.348,0.8344,1,0
288,04081101+7423018,103179032,10.8025999069214,0.186,0.208,,0,0
289,04385352+2147549,118677743,10.9490003585815,0.298,0.314,,0,0
290,04404249+0213522,256873400,9.19799995422363,0.447,0.457,,0,0
291,04440815+1401228,436572709,11.5284996032715,0.292,0.309,,1,0
292,05074924+1758584,27137427,9.44699954986572,0.254,0.273,,0,0
295,06211300+4414307,189882802,10.0450000762939,0.574,0.581,,1,0
298,09050442+0250031,270561176,9.52000045776367,0.476,0.485,,0,0
299,09061408+1251347,330688989,10.7040004730225,0.322,0.337,,0,0
301,10130025+2320504,95312817,10.8809995651245,0.446,0.456,,0,0
303,11002381+7252244,142537354,10.2480001449585,0.485,0.494,,0,0
304,11030845+1517518,372445638,10.3990001678467,0.323,0.338,,1,0
305,11353198+3855372,10111229,10.6510000228882,0.509,0.518,,0,0
306,11432359+2518137,138822476,11.4259996414185,0.422,0.433,1.326,1,0
308,11585947+4239395,141177289,9.92000007629395,0.633,0.639,,0,0
309,12121136+4849032,53577794,10.5609998703003,0.277,0.294,,0,0
310,12190600+3150433,139086865,9.6870002746582,0.537,0.545,,0,0
311,12290290+4143497,18906490,10.2620000839233,0.472,0.481,13.5853,1,0
312,12454707+5255186,157873245,11.6960000991821,0.255,0.273,,1,0
313,12503457+2655230,356709833,11.4359998703003,0.315,0.331,,0,0
314,13180180+0214011,393638658,10.2910003662109,0.392,0.404,,0,0
315,13490104+0247281,392928034,9.13399982452393,0.492,0.502,,0,0
318,14330637+6100445,232977967,9.57199954986572,0.582,0.589,,0,0
