,2MASS,id,tmag,MASS,RAD,ROT,Activity Flag,Binary Flag
431,06105288-4324178,231917352,9.73585033416748,0.281,0.298,,1,0
432,09070278-2208494,432089011,11.2381000518799,0.196,0.217,,0,0
433,09170532-7749233,452465896,10.1581001281738,0.203,0.224,,0,0
434,09424635-6853060,370955883,9.73799991607666,0.175,0.197,,0,0
435,10145184-4709244,101955023,10.8372001647949,0.18,0.202,,0,0
436,10553448-0921262,148498810,11.0198001861572,0.249,0.267,,0,0
437,11235737-1821485,471015583,10.5989999771118,0.282,0.299,,0,0
438,11235737-1821485,219187616,10.7975997924805,0.282,0.299,,0,0
439,11310835-1457201,157757138,11.206000328064,0.154,0.177,,0,0
440,11310835-1457201,471012447,11.319299697876,0.154,0.177,,0,0
441,11382500-4122325,181202771,11.0550003051758,0.206,0.227,,0,0
442,12230147-4637082,22760643,10.8345003128052,0.24,0.258,,0,0
443,12384914-3822527,144370079,9.8645601272583,0.146,0.169,,0,0
444,13092037-4009264,30203825,10.3858003616333,0.291,0.307,,0,0
445,13130939-4130396,30380653,10.0661001205444,0.28,0.297,,0,0
446,13233804-2554449,101774867,10.2903995513916,0.276,0.293,,1,0
447,13591045-1950034,125421413,10.0532999038696,0.246,0.265,,1,0
448,14200739-0937127,471012479,10.375,0.251,0.269,,0,0
449,14200739-0937127,6112560,10.4579000473022,0.251,0.269,,0,0
450,14211512-0107199,287849681,10.5550003051758,0.226,0.245,,0,0
451,14294291-6240465,388857263,7.3600001335144,0.119,0.144,83.5,1,0
452,16352464-2718533,471012282,11.6529998779297,0.205,0.226,,0,0
453,16352464-2718533,205155275,11.5817003250122,0.205,0.226,,0,0
454,16570570-0420559,189843364,9.6118803024292,0.229,0.248,1.212,1,0
455,17292729-8008573,384827322,9.67969989776611,0.309,0.325,,0,0
456,18495119-5726486,456611976,10.0130996704102,0.279,0.296,,0,0
457,19204795-4533283,62020444,9.38922023773193,0.175,0.197,,0,0
458,19205439-8233170,369327947,10.1507997512817,0.246,0.265,,0,0
459,20280382-7640164,331681541,11.0402002334595,0.166,0.189,,0,0
460,20553706-1403545,471016272,11.6510000228882,0.137,0.161,,0,0
461,20553706-1403545,206169489,11.6567001342773,0.137,0.161,,0,0
463,21304763-4042290,165096120,10.4811000823975,0.196,0.217,,0,0
464,21384369-3339555,270503578,10.0235004425049,0.264,0.281,,0,0
465,21492590-6306519,238813498,10.2349004745483,0.313,0.329,,0,0
466,22022935-3704512,197736350,9.1870002746582,0.237,0.256,,0,0
467,22380290-6550088,232062205,11.7918996810913,0.255,0.273,,0,0
468,22562466-6003490,237314211,10.8819999694824,0.169,0.191,,0,0
469,23121132-1406108,5738528,10.5558004379272,0.295,0.311,,0,0
470,23175034-4818476,355368845,11.0964002609253,0.275,0.292,,0,0
471,23365227-3628518,224269420,10.8922004699707,0.165,0.188,,0,0
472,01045368-1807292,471016687,11.2670001983643,0.14,0.164,,0,0
473,02042754-0152560,471012310,11.246000289917,0.249,0.268,,0,0
474,02154883-1240276,471012735,10.5129995346069,0.297,0.313,,0,0
475,04245619-4002469,7723060,11.2209997177124,0.202,0.223,,1,0
476,05360007-0738580,388934726,10.1768999099731,0.214,0.234,,0,0
477,05470907-0512106,471012390,11.6750001907349,0.171,0.194,,0,0
478,05470907-0512106,176453249,11.8920001983643,0.171,0.194,,0,0
479,08405923-2327232,118608254,9.51138019561768,0.428,0.439,,0,0
480,08442236-1024111,95670818,11.4447002410889,0.253,0.271,,0,0
481,08550473-7135480,302444623,11.7993001937866,0.242,0.261,,0,0
482,09360486-0606557,47007301,11.440899848938,0.264,0.282,,0,0
484,10473868-7927458,394816687,10.7292003631592,0.219,0.239,,0,0
485,11151549-1807347,471016634,11.1929998397827,0.193,0.214,,0,0
486,11151549-1807347,423491038,11.3150997161865,0.193,0.214,,0,0
487,11163766-2757186,471012480,11.0319995880127,0.257,0.275,,0,0
488,11163766-2757186,20501510,11.1360998153687,0.257,0.275,,0,0
489,11350732-0539219,49427030,11.9829998016357,0.193,0.214,,0,0
490,11531249-3123560,471012510,11.0419998168945,0.242,0.26,,0,0
491,11531249-3123560,142002844,11.1089000701904,0.242,0.26,,0,0
492,11554425-1854316,5647251,11.6042003631592,0.238,0.257,,0,0
493,12035831-3301265,142310435,11.2194995880127,0.223,0.243,,0,0
494,12111697-1958213,422407583,10.1585998535156,0.251,0.269,,0,0
495,12362288-0422393,175376830,11.0431003570557,0.324,0.339,,0,0
496,12384731-0419168,51643344,10.9359998703003,0.286,0.302,,0,0
497,12404633-4333595,73232846,9.7407398223877,0.177,0.199,,0,0
498,13300285-0842251,196679896,11.53600025177,0.183,0.204,,0,0
499,13302576-5202403,419909642,10.674599647522,0.297,0.313,,0,0
500,13342364-2622114,58761222,11.2597999572754,0.219,0.239,,0,0
501,13584361-0004474,119132212,11.5516996383667,0.384,0.397,,0,0
502,14022888-2100369,339386257,10.7285995483398,0.284,0.301,,0,0
503,14130492-1201262,471012276,10.7629995346069,0.163,0.186,,1,0
504,14130492-1201262,157170384,11.0510997772217,0.163,0.186,,1,0
505,14191106-0718113,471012478,11.2639999389648,0.222,0.242,,0,0
506,14191106-0718113,6095802,11.2520999908447,0.222,0.242,,0,0
